n	first	val
0	-	289962
1	-	348650
2	-	425448
3	-	511648
4	-	529620
5	-	566400
6	-	596618
7	-	607747
8	-	589935
9	-	513238
10	-	427961
11	-	366180
12	-	288376
13	-	240108
14	-	204368
15	-	153303
16	-	115564
17	-	81104
18	-	61383
19	-	48138
20	-	36816
21	-	29640
22	-	26688
23	-	26460
24	-	26441
25	-	25172
26	-	27000
27	-	30324
28	-	34545
29	-	38962
30	-	42588
31	-	46898
32	-	49956
33	-	54464
34	-	59408
35	-	67524
36	-	72292
37	-	78888
38	-	86000
39	-	87948
40	-	87330
41	-	91290
42	-	93499
43	-	94170
44	-	93912
45	-	93960
46	-	90424
47	-	88665
48	-	85869
49	-	79815
50	-	74676
51	-	68523
52	-	60973
53	-	54990
54	-	45580
55	-	38805
56	-	34780
57	-	30102
58	-	26080
59	-	22451
60	-	20520
61	-	18963
62	-	17374
63	-	16756
64	-	15730
65	-	15660
66	-	15688
67	-	16524
68	-	16854
69	-	18094
70	-	19040
71	-	20585
72	-	22320
73	-	23985
74	-	25875
75	-	28470
76	-	32430
77	-	36632
78	-	40035
79	-	45408
80	-	48125
81	-	52828
82	-	55296
83	-	59823
84	-	61190
85	-	62496
86	-	60918
87	-	61258
88	-	59675
89	-	57352
90	-	55536
91	-	56548
92	-	54270
93	-	55440
94	-	55480
95	-	59800
96	-	63133
97	-	67184
98	-	69874
99	-	71806
100	-	71583
101	-	73008
102	-	72216
103	-	70452
104	-	69042
105	-	70152
106	-	71928
107	-	73575
108	-	76461
109	-	78430
110	-	81892
111	-	84252
112	-	86245
113	-	90639
114	-	95882
115	-	98806
116	-	101529
117	-	104103
118	-	105448
119	-	106974
120	-	102760
121	-	98092
122	-	93639
123	-	90954
124	-	82160
125	-	77978
126	-	77165
127	-	73373
128	-	73233
129	-	72094
130	-	74683
131	-	78588
132	-	81545
133	-	84832
134	-	86346
135	-	87599
136	-	86652
137	-	88032
138	-	85760
139	-	83664
140	-	82656
141	-	83886
142	-	83835
143	-	85158
144	-	85709
145	-	86730
146	-	89815
147	-	90520
148	-	91988
149	-	97028
150	-	99705
151	-	103220
152	-	106503
153	-	108075
154	-	109532
155	-	110687
156	-	105276
157	-	100828
158	-	97572
159	-	92496
160	-	86130
161	-	81954
162	-	79616
163	-	75366
164	-	75168
165	-	77589
166	-	81291
167	-	84845
168	-	88426
169	-	89032
170	-	90624
171	-	90480
172	-	89835
173	-	87024
174	-	84336
175	-	83148
176	-	83980
177	-	83980
178	-	84320
179	-	84132
180	-	85560
181	-	86800
182	-	87822
183	-	88088
184	-	91758
185	-	96133
186	-	98816
187	-	101904
188	-	104372
189	-	106645
190	-	108204
191	-	104720
192	-	101200
193	-	98766
194	-	93775
195	-	91512
196	-	85974
197	-	82680
198	-	78732
199	-	78116
200	-	80682
201	-	84109
202	-	88209
203	-	91364
204	-	91839
205	-	93080
206	-	92664
207	-	92886
208	-	88140
209	-	85261
210	-	84250
211	-	84838
212	-	83913
213	-	84420
214	-	83486
215	-	83640
216	-	84474
217	-	84458
218	-	85314
219	-	87723
220	-	90895
221	-	94248
222	-	96750
223	-	99414
224	-	102750
225	-	104813
226	-	104904
227	-	103138
228	-	102114
229	-	98335
230	-	95880
231	-	94380
232	-	87368
233	-	84888
234	-	80586
235	-	82663
236	-	87000
237	-	90768
238	-	94860
239	-	95680
240	-	96460
241	-	95853
242	-	97128
243	-	92064
244	-	86172
245	-	84480
246	-	84074
247	-	83160
248	-	82296
249	-	80769
250	-	80276
251	-	80688
252	-	80494
253	-	79919
254	-	83490
255	-	84728
256	-	88695
257	-	91728
258	-	94208
259	-	96831
260	-	101200
261	-	100925
262	-	99160
263	-	100100
264	-	95934
265	-	94325
266	-	92349
267	-	88075
268	-	83980
269	-	78392
270	-	80543
271	-	83280
272	-	87330
273	-	91264
274	-	93492
275	-	95053
276	-	95469
277	-	95764
278	-	95910
279	-	89946
280	-	86868
281	-	86700
282	-	85428
283	-	84924
284	-	84336
285	-	83913
286	-	83576
287	-	82228
288	-	82181
289	-	83280
290	-	85184
291	-	86878
292	-	89304
293	-	93726
294	-	98208
295	-	102000
296	-	103500
297	-	104440
298	-	104152
299	-	103127
300	-	99755
301	-	97635
302	-	92950
303	-	91025
304	-	85504
305	-	83394
306	-	86056
307	-	89528
308	-	94605
309	-	96492
310	-	97614
311	-	98256
312	-	99524
313	-	97507
314	-	91530
315	-	87842
316	-	85680
317	-	84810
318	-	82804
319	-	81096
320	-	79625
321	-	79856
322	-	77914
323	-	77499
324	-	77973
325	-	78880
326	-	81528
327	-	83538
328	-	87604
329	-	92232
330	-	97785
331	-	99110
332	-	101283
333	-	101470
334	-	99630
